Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
,South Korea,1/24/20 0:00,1,,,
,Singapore,1/24/20 0:00,1,,,
,Vietnam,1/24/20 0:00,2,,,
Guangdong,Mainland China,1/24/20 12:00,53,,2,
Zhejiang,Mainland China,1/24/20 12:00,43,,1,
Beijing,Mainland China,1/24/20 12:00,36,,1,
Chongqing,Mainland China,1/24/20 12:00,27,13,,
Hunan,Mainland China,1/24/20 12:00,24,,,
Guangxi,Mainland China,1/24/20 12:00,23,,,
Shanghai,Mainland China,1/24/20 12:00,20,22,1,
Jiangxi,Mainland China,1/24/20 12:00,18,,,
Sichuan,Mainland China,1/24/20 12:00,15,4,,
Shandong,Mainland China,1/24/20 12:00,15,,,
Anhui,Mainland China,1/24/20 12:00,15,4,,
Fujian,Mainland China,1/24/20 12:00,10,2,,
Henan,Mainland China,1/24/20 12:00,9,42,,
Jiangsu,Mainland China,1/24/20 12:00,9,,,
Hainan,Mainland China,1/24/20 12:00,8,32,,
Tianjin,Mainland China,1/24/20 12:00,8,,,
Yunnan,Mainland China,1/24/20 12:00,5,,,
Shaanxi,Mainland China,1/24/20 12:00,5,,,
Heilongjiang,Mainland China,1/24/20 12:00,4,,,1
Liaoning,Mainland China,1/24/20 12:00,4,,,
Guizhou,Mainland China,1/24/20 12:00,3,,,
Jilin,Mainland China,1/24/20 12:00,3,,,
Taiwan,Taiwan,1/24/20 12:00,3,,,
Ningxia,Mainland China,1/24/20 12:00,2,1,,
Hong Kong,Hong Kong,1/24/20 12:00,2,36,,
Macau,Macau,1/24/20 12:00,2,,,
Hebei,Mainland China,1/24/20 12:00,2,,,1
Gansu,Mainland China,1/24/20 12:00,2,,,
Xinjiang,Mainland China,1/24/20 12:00,2,,,
Shanxi,Mainland China,1/24/20 12:00,1,,,
Inner Mongolia,Mainland China,1/24/20 12:00,1,2,,
Qinghai,Mainland China,1/24/20 12:00,,1,,
Washington,United States,1/24/20 12:00,1,,,
Chicago,United States,1/24/20 12:00,1,,,
,Japan,1/24/20 12:00,2,,,
,Thailand,1/24/20 12:00,5,,,
,South Korea,1/24/20 12:00,2,,,
,Singapore,1/24/20 12:00,3,,,
,Vietnam,1/24/20 12:00,2,,,
,France,1/24/20 12:00,2,,,
Hubei,Mainland China,1/24/20 16:00,549,,31,24
Hubei,Mainland China,1/25/20 0:00,729,,32,39
Guangdong,Mainland China,1/25/20 0:00,78,,2,
Zhejiang,Mainland China,1/25/20 0:00,62,,1,
Chongqing,Mainland China,1/25/20 0:00,57,,,
Hunan,Mainland China,1/25/20 0:00,43,,,
Anhui,Mainland China,1/25/20 0:00,39,4,,
Beijing,Mainland China,1/25/20 0:00,36,,1,
Shanghai,Mainland China,1/25/20 0:00,33,22,1,
Henan,Mainland China,1/25/20 0:00,32,1,,
Sichuan,Mainland China,1/25/20 0:00,28,4,,
Guangxi,Mainland China,1/25/20 0:00,23,,,
Shandong,Mainland China,1/25/20 0:00,21,,,
Jiangxi,Mainland China,1/25/20 0:00,18,,,
Jiangsu,Mainland China,1/25/20 0:00,18,,1,
Hainan,Mainland China,1/25/20 0:00,17,,,
Liaoning,Mainland China,1/25/20 0:00,15,,,
Fujian,Mainland China,1/25/20 0:00,10,4,,
Heilongjiang,Mainland China,1/25/20 0:00,9,,,1
Tianjin,Mainland China,1/25/20 0:00,8,,,
Hebei,Mainland China,1/25/20 0:00,8,,,1
Shanxi,Mainland China,1/25/20 0:00,6,,,
Yunnan,Mainland China,1/25/20 0:00,5,,,
Hong Kong,Hong Kong,1/25/20 0:00,5,36,,
Shaanxi,Mainland China,1/25/20 0:00,5,,,
Guizhou,Mainland China,1/25/20 0:00,4,,,
Jilin,Mainland China,1/25/20 0:00,4,,,
Gansu,Mainland China,1/25/20 0:00,4,,,
Ningxia,Mainland China,1/25/20 0:00,3,1,,
Taiwan,Taiwan,1/25/20 0:00,3,,,
Xinjiang,Mainland China,1/25/20 0:00,3,,,
Macau,Macau,1/25/20 0:00,2,,,
Inner Mongolia,Mainland China,1/25/20 0:00,2,,,
Qinghai,Mainland China,1/25/20 0:00,,1,,
Washington,United States,1/25/20 0:00,1,,,
Illinois,United States,1/25/20 0:00,1,,,
,Japan,1/25/20 0:00,2,,,
,Thailand,1/25/20 0:00,5,,,
,South Korea,1/25/20 0:00,2,,,
,Singapore,1/25/20 0:00,3,,,
,Vietnam,1/25/20 0:00,2,,,
,France,1/25/20 0:00,3,,,
,Australia,1/25/20 0:00,1,,,
,Nepal,1/25/20 0:00,1,,,
,Malaysia,1/25/20 0:00,3,,,
Guangdong,Mainland China,1/25/20 12:00,98,,2,
Henan,Mainland China,1/25/20 12:00,83,3,,1
Chongqing,Mainland China,1/25/20 12:00,75,,,
Hunan,Mainland China,1/25/20 12:00,69,,,
Anhui,Mainland China,1/25/20 12:00,60,4,,
Beijing,Mainland China,1/25/20 12:00,51,,2,
Sichuan,Mainland China,1/25/20 12:00,44,4,,
Shanghai,Mainland China,1/25/20 12:00,40,72,1,1
Shandong,Mainland China,1/25/20 12:00,39,,,
Jiangxi,Mainland China,1/25/20 12:00,36,,,
Guangxi,Mainland China,1/25/20 12:00,33,,,
Jiangsu,Mainland China,1/25/20 12:00,31,,1,
Hainan,Mainland China,1/25/20 12:00,19,,,
Liaoning,Mainland China,1/25/20 12:00,19,,,
Fujian,Mainland China,1/25/20 12:00,18,20,,1
Heilongjiang,Mainland China,1/25/20 12:00,15,,,
Shaanxi,Mainland China,1/25/20 12:00,15,,,
Tianjin,Mainland China,1/25/20 12:00,13,,,
Hebei,Mainland China,1/25/20 12:00,13,,,1
Yunnan,Mainland China,1/25/20 12:00,11,58,,
Shanxi,Mainland China,1/25/20 12:00,9,,,
Inner Mongolia,Mainland China,1/25/20 12:00,7,,,
Gansu,Mainland China,1/25/20 12:00,7,,,
Guizhou,Mainland China,1/25/20 12:00,5,,,
Hong Kong,Hong Kong,1/25/20 12:00,5,244,,
Ningxia,Mainland China,1/25/20 12:00,4,1,,
Jilin,Mainland China,1/25/20 12:00,4,,,
Xinjiang,Mainland China,1/25/20 12:00,4,,,
Taiwan,Taiwan,1/25/20 12:00,3,,,
Macau,Macau,1/25/20 12:00,2,,,
Qinghai,Mainland China,1/25/20 12:00,1,,,
Washington,United States,1/25/20 12:00,1,,,
Illinois,United States,1/25/20 12:00,1,,,
,Japan,1/25/20 12:00,2,,,
,Thailand,1/25/20 12:00,7,,,
,South Korea,1/25/20 12:00,3,,,
,Singapore,1/25/20 12:00,3,,,
,Vietnam,1/25/20 12:00,2,,,
,France,1/25/20 12:00,3,,,
,Australia,1/25/20 12:00,4,,,
,Nepal,1/25/20 12:00,1,,,
,Malaysia,1/25/20 12:00,3,,,
Hubei,Mainland China,1/25/20 12:00,761,,32,40
Guangdong,Mainland China,1/25/20 12:00,78,,2,
Zhejiang,Mainland China,1/25/20 12:00,62,,1,
Chongqing,Mainland China,1/25/20 12:00,57,,,
Hunan,Mainland China,1/25/20 12:00,43,,,
Beijing,Mainland China,1/25/20 12:00,41,,2,
Anhui,Mainland China,1/25/20 12:00,39,4,,
Shanghai,Mainland China,1/25/20 12:00,33,72,1,
Henan,Mainland China,1/25/20 12:00,32,1,,
Sichuan,Mainland China,1/25/20 12:00,28,4,,
Shandong,Mainland China,1/25/20 12:00,27,,,
Guangxi,Mainland China,1/25/20 12:00,23,,,
Hainan,Mainland China,1/25/20 12:00,19,,,
Jiangxi,Mainland China,1/25/20 12:00,18,,,
Fujian,Mainland China,1/25/20 12:00,18,20,,
Jiangsu,Mainland China,1/25/20 12:00,18,,1,
Liaoning,Mainland China,1/25/20 12:00,17,,,
Shaanxi,Mainland China,1/25/20 12:00,15,,,
Yunnan,Mainland China,1/25/20 12:00,11,58,,
Tianjin,Mainland China,1/25/20 12:00,10,,,
Heilongjiang,Mainland China,1/25/20 12:00,9,,,1
Hebei,Mainland China,1/25/20 12:00,8,,,1
Inner Mongolia,Mainland China,1/25/20 12:00,7,,,
Shanxi,Mainland China,1/25/20 12:00,6,,,
Hong Kong,Hong Kong,1/25/20 12:00,5,244,,
Guizhou,Mainland China,1/25/20 12:00,4,,,
Jilin,Mainland China,1/25/20 12:00,4,,,
Gansu,Mainland China,1/25/20 12:00,4,,,
Ningxia,Mainland China,1/25/20 12:00,3,1,,
Taiwan,Taiwan,1/25/20 12:00,3,,,
Xinjiang,Mainland China,1/25/20 12:00,3,,,
Macau,Macau,1/25/20 12:00,2,,,
Qinghai,Mainland China,1/25/20 12:00,1,,,
Washington,United States,1/25/20 12:00,1,,,
Illinois,United States,1/25/20 12:00,1,,,
,Japan,1/25/20 12:00,2,,,
,Thailand,1/25/20 12:00,7,,,
,South Korea,1/25/20 12:00,2,,,
,Singapore,1/25/20 12:00,3,,,
,Vietnam,1/25/20 12:00,2,,,
,France,1/25/20 12:00,3,,,
,Australia,1/25/20 12:00,4,,,
,Nepal,1/25/20 12:00,1,,,
,Malaysia,1/25/20 12:00,3,,,
Hubei,Mainland China,1/25/20 22:00,1052,,42,52
Zhejiang,Mainland China,1/25/20 22:00,104,,1,
Hubei,Mainland China,1/26/20 11:00,1058,,42,52
Guangdong,Mainland China,1/26/20 11:00,111,,2,
Zhejiang,Mainland China,1/26/20 11:00,104,,1,
Henan,Mainland China,1/26/20 11:00,83,3,,1
Chongqing,Mainland China,1/26/20 11:00,75,,,
Hunan,Mainland China,1/26/20 11:00,69,,,
Beijing,Mainland China,1/26/20 11:00,68,,2,
Anhui,Mainland China,1/26/20 11:00,60,4,,
Shandong,Mainland China,1/26/20 11:00,46,,,
Sichuan,Mainland China,1/26/20 11:00,44,4,,
Shanghai,Mainland China,1/26/20 11:00,40,72,1,1
Guangxi,Mainland China,1/26/20 11:00,36,,,
Jiangxi,Mainland China,1/26/20 11:00,36,,,
Fujian,Mainland China,1/26/20 11:00,35,20,,
Jiangsu,Mainland China,1/26/20 11:00,33,,1,
Hainan,Mainland China,1/26/20 11:00,22,,,
Shaanxi,Mainland China,1/26/20 11:00,22,,,
Liaoning,Mainland China,1/26/20 11:00,21,,,
Yunnan,Mainland China,1/26/20 11:00,16,36,,
Heilongjiang,Mainland China,1/26/20 11:00,15,,,1
Tianjin,Mainland China,1/26/20 11:00,14,,,
Hebei,Mainland China,1/26/20 11:00,13,,,1
Shanxi,Mainland China,1/26/20 11:00,9,,,
Hong Kong,Hong Kong,1/26/20 11:00,8,244,,
Inner Mongolia,Mainland China,1/26/20 11:00,7,,,
Gansu,Mainland China,1/26/20 11:00,7,,,
Guizhou,Mainland China,1/26/20 11:00,5,,,
Macau,Macau,1/26/20 11:00,5,,,
Ningxia,Mainland China,1/26/20 11:00,4,,,
Jilin,Mainland China,1/26/20 11:00,4,,,
Taiwan,Taiwan,1/26/20 11:00,4,,,
Xinjiang,Mainland China,1/26/20 11:00,4,,,
Qinghai,Mainland China,1/26/20 11:00,1,,,
Washington,United States,1/26/20 11:00,1,,,
Illinois,United States,1/26/20 11:00,1,,,
California,United States,1/26/20 11:00,1,,,
,Japan,1/26/20 11:00,4,,1,
,Thailand,1/26/20 11:00,8,,2,
,South Korea,1/26/20 11:00,3,,,
,Singapore,1/26/20 11:00,4,,,
,Vietnam,1/26/20 11:00,2,,,
,France,1/26/20 11:00,3,,,
,Australia,1/26/20 11:00,4,,,
,Nepal,1/26/20 11:00,1,,,
,Malaysia,1/26/20 11:00,4,,,
Ontario,Canada,1/26/20 11:00,1,,,
Hubei,Mainland China,1/26/20 23:00,1423,,44,76
Guangdong,Mainland China,1/26/20 23:00,146,,2,
Zhejiang,Mainland China,1/26/20 23:00,128,,1,
Henan,Mainland China,1/26/20 23:00,128,,,1
Chongqing,Mainland China,1/26/20 23:00,110,,,
Hunan,Mainland China,1/26/20 23:00,100,,,
Anhui,Mainland China,1/26/20 23:00,70,,,
Sichuan,Mainland China,1/26/20 23:00,69,,,
Beijing,Mainland China,1/26/20 23:00,68,,2,
Shandong,Mainland China,1/26/20 23:00,63,,,
Shanghai,Mainland China,1/26/20 23:00,53,,1,1
Jiangxi,Mainland China,1/26/20 23:00,48,,,
Jiangsu,Mainland China,1/26/20 23:00,47,,1,
Guangxi,Mainland China,1/26/20 23:00,46,,,
Fujian,Mainland China,1/26/20 23:00,35,,,
Liaoning,Mainland China,1/26/20 23:00,23,,,
Hainan,Mainland China,1/26/20 23:00,22,,,
Shaanxi,Mainland China,1/26/20 23:00,22,,,
Heilongjiang,Mainland China,1/26/20 23:00,21,,,1
Yunnan,Mainland China,1/26/20 23:00,19,,,
Hebei,Mainland China,1/26/20 23:00,18,,,1
Tianjin,Mainland China,1/26/20 23:00,14,,,
Gansu,Mainland China,1/26/20 23:00,14,,,
Shanxi,Mainland China,1/26/20 23:00,13,,,
Inner Mongolia,Mainland China,1/26/20 23:00,11,,,
Hong Kong,Hong Kong,1/26/20 23:00,8,,,
Guizhou,Mainland China,1/26/20 23:00,7,,,
Jilin,Mainland China,1/26/20 23:00,6,,,
Macau,Macau,1/26/20 23:00,6,,,
Xinjiang,Mainland China,1/26/20 23:00,5,,,
Ningxia,Mainland China,1/26/20 23:00,4,,,
Taiwan,Taiwan,1/26/20 23:00,4,,,
Qinghai,Mainland China,1/26/20 23:00,4,,,
Washington,United States,1/26/20 23:00,1,,,
Illinois,United States,1/26/20 23:00,1,,,
California,United States,1/26/20 23:00,2,,,
Arizona,United States,1/26/20 23:00,1,,,
,Japan,1/26/20 23:00,4,,1,
,Thailand,1/26/20 23:00,8,,2,
,South Korea,1/26/20 23:00,3,,,
,Singapore,1/26/20 23:00,4,,,
,Vietnam,1/26/20 23:00,2,,,
,France,1/26/20 23:00,3,,,
,Australia,1/26/20 23:00,4,,,
,Nepal,1/26/20 23:00,1,,,
,Malaysia,1/26/20 23:00,4,,,
Ontario,Canada,1/26/20 23:00,1,,,
Hubei,Mainland China,1/27/20 9:00,1423,,45,76
Guangdong,Mainland China,1/27/20 9:00,151,,3,
Zhejiang,Mainland China,1/27/20 9:00,128,,1,
Henan,Mainland China,1/27/20 9:00,128,,,
Chongqing,Mainland China,1/27/20 9:00,110,,,1
Hunan,Mainland China,1/27/20 9:00,100,,,
Shandong,Mainland China,1/27/20 9:00,75,,,
Beijing,Mainland China,1/27/20 9:00,72,,2,
Anhui,Mainland China,1/27/20 9:00,70,,,
Sichuan,Mainland China,1/27/20 9:00,69,,,
Fujian,Mainland China,1/27/20 9:00,56,,,
Shanghai,Mainland China,1/27/20 9:00,53,,3,1
Jiangxi,Mainland China,1/27/20 9:00,48,,1,
Jiangsu,Mainland China,1/27/20 9:00,47,,1,
Guangxi,Mainland China,1/27/20 9:00,46,,,
Shaanxi,Mainland China,1/27/20 9:00,35,,,
Hainan,Mainland China,1/27/20 9:00,33,,,1
Liaoning,Mainland China,1/27/20 9:00,27,,,
Yunnan,Mainland China,1/27/20 9:00,26,,,
Tianjin,Mainland China,1/27/20 9:00,22,,,
Heilongjiang,Mainland China,1/27/20 9:00,21,,,1
Hebei,Mainland China,1/27/20 9:00,18,,,1
Gansu,Mainland China,1/27/20 9:00,14,,,
Shanxi,Mainland China,1/27/20 9:00,13,,,
Inner Mongolia,Mainland China,1/27/20 9:00,11,,,
Hong Kong,Hong Kong,1/27/20 9:00,8,,,
Guizhou,Mainland China,1/27/20 9:00,7,,,
Ningxia,Mainland China,1/27/20 9:00,7,,,
Jilin,Mainland China,1/27/20 9:00,6,,,
Macau,Macau,1/27/20 9:00,6,,,
Taiwan,Taiwan,1/27/20 9:00,5,,,
Xinjiang,Mainland China,1/27/20 9:00,5,,,
Qinghai,Mainland China,1/27/20 9:00,4,,,
Washington,United States,1/27/20 9:00,1,,,
Illinois,United States,1/27/20 9:00,1,,,
California,United States,1/27/20 9:00,2,,,
Arizona,United States,1/27/20 9:00,1,,,
,Japan,1/27/20 9:00,4,,1,
,Thailand,1/27/20 9:00,8,,2,
,South Korea,1/27/20 9:00,4,,,
,Singapore,1/27/20 9:00,4,,,
,Vietnam,1/27/20 9:00,2,,,
,France,1/27/20 9:00,3,,,
,Australia,1/27/20 9:00,5,,,
,Nepal,1/27/20 9:00,1,,,
,Malaysia,1/27/20 9:00,4,,,
Ontario,Canada,1/27/20 9:00,1,,,
,Cambodia,1/27/20 9:00,1,,,
Hubei,Mainland China,1/27/20 19:00,1423,,45,76
Guangdong,Mainland China,1/27/20 19:00,151,,4,
Zhejiang,Mainland China,1/27/20 19:00,128,,1,
Henan,Mainland China,1/27/20 19:00,128,,,1
Chongqing,Mainland China,1/27/20 19:00,110,,,
Hunan,Mainland China,1/27/20 19:00,100,,,
Beijing,Mainland China,1/27/20 19:00,80,,2,1
Shandong,Mainland China,1/27/20 19:00,75,,,
Jiangxi,Mainland China,1/27/20 19:00,72,,2,
Anhui,Mainland China,1/27/20 19:00,70,,,
Sichuan,Mainland China,1/27/20 19:00,69,,,
Fujian,Mainland China,1/27/20 19:00,59,,,
Shanghai,Mainland China,1/27/20 19:00,53,,3,1
Jiangsu,Mainland China,1/27/20 19:00,47,,1,
Guangxi,Mainland China,1/27/20 19:00,46,,,
Shaanxi,Mainland China,1/27/20 19:00,35,,,
Hainan,Mainland China,1/27/20 19:00,33,,,1
Liaoning,Mainland China,1/27/20 19:00,27,,,
Yunnan,Mainland China,1/27/20 19:00,26,,,
Tianjin,Mainland China,1/27/20 19:00,23,,,
Heilongjiang,Mainland China,1/27/20 19:00,21,,,1
Hebei,Mainland China,1/27/20 19:00,18,,,1
Gansu,Mainland China,1/27/20 19:00,14,,,
Shanxi,Mainland China,1/27/20 19:00,13,,,
Inner Mongolia,Mainland China,1/27/20 19:00,11,,,
Hong Kong,Hong Kong,1/27/20 19:00,8,,,
Guizhou,Mainland China,1/27/20 19:00,7,,,
Ningxia,Mainland China,1/27/20 19:00,7,,,
Jilin,Mainland China,1/27/20 19:00,6,,,
Macau,Macau,1/27/20 19:00,6,,,
Qinghai,Mainland China,1/27/20 19:00,6,,,
Taiwan,Taiwan,1/27/20 19:00,5,,,
Xinjiang,Mainland China,1/27/20 19:00,5,,,
Washington,United States,1/27/20 19:00,1,,,
Illinois,United States,1/27/20 19:00,1,,,
California,United States,1/27/20 19:00,2,,,
Arizona,United States,1/27/20 19:00,1,,,
,Japan,1/27/20 19:00,4,,1,
,Thailand,1/27/20 19:00,8,,2,
,South Korea,1/27/20 19:00,4,,,
,Singapore,1/27/20 19:00,5,,,
,Vietnam,1/27/20 19:00,2,,,
,France,1/27/20 19:00,3,,,
,Nepal,1/27/20 19:00,1,,,
,Malaysia,1/27/20 19:00,4,,,
Ontario,Canada,1/27/20 19:00,1,,,
,Cambodia,1/27/20 19:00,1,,,
,Sri Lanka,1/27/20 19:00,1,,,
,Ivory Coast,1/27/20 19:00,1,,,
New South Wales,Australia,1/27/20 19:00,4,,,
Victoria,Australia,1/27/20 19:00,1,,,
Hubei,Mainland China,1/27/20 20:30,2714,,47,100
Zhejiang,Mainland China,1/27/20 20:30,173,,1,
Henan,Mainland China,1/27/20 20:30,168,,,1
Guangdong,Mainland China,1/27/20 20:30,151,,4,
Chongqing,Mainland China,1/27/20 20:30,132,,,
Anhui,Mainland China,1/27/20 20:30,106,,,
Hunan,Mainland China,1/27/20 20:30,100,,,
Sichuan,Mainland China,1/27/20 20:30,90,,,
Shandong,Mainland China,1/27/20 20:30,87,,,1
Beijing,Mainland China,1/27/20 20:30,80,,2,1
Jiangxi,Mainland China,1/27/20 20:30,72,,2,
Jiangsu,Mainland China,1/27/20 20:30,70,,1,
Shanghai,Mainland China,1/27/20 20:30,66,,3,1
Fujian,Mainland China,1/27/20 20:30,59,,,
Guangxi,Mainland China,1/27/20 20:30,51,,,
Shaanxi,Mainland China,1/27/20 20:30,35,,,
Hainan,Mainland China,1/27/20 20:30,33,,,1
Hebei,Mainland China,1/27/20 20:30,33,,,1
Heilongjiang,Mainland China,1/27/20 20:30,30,,,1
Liaoning,Mainland China,1/27/20 20:30,27,,,
Yunnan,Mainland China,1/27/20 20:30,26,,,
Tianjin,Mainland China,1/27/20 20:30,23,,,
Shanxi,Mainland China,1/27/20 20:30,20,,,
Gansu,Mainland China,1/27/20 20:30,19,,,
